graph_name,vertices,edges,edge_density,degree_variance,clustering_coefficient,k,bronKerbosch_time,bronKerbosch_max_found,bronKerbosch_success,branch_and_bound_time,branch_and_bound_max_found,branch_and_bound_success,simulated_annealing_time,simulated_annealing_max_found,simulated_annealing_success,genetic_alg_time,genetic_alg_max_found,genetic_alg_success
v25/11,25,123,0.41,7.4544000000000015,0.06956521739130435,5,0.0009999275207519531,5,1.0,0.0010008811950683594,5,1.0,0.2011634349822998,5,1.0,0.021800017356872557,5,1.0
v25/12,25,112,0.37333333333333335,6.398399999999998,0.05217391304347826,4,0.0,4,1.0,0.0,4,1.0,0.10056884288787842,4,1.0,0.0004978418350219726,4,1.0
v25/13,25,204,0.68,5.217600000000001,0.3091304347826087,7,0.0,7,1.0,0.000993967056274414,7,1.0,0.1409620761871338,7,1.0,0.03720002174377442,7,1.0
v25/14,25,114,0.38,6.705600000000001,0.05565217391304348,5,0.00099945068359375,5,1.0,0.0,5,1.0,0.243097186088562,5,1.0,0.03611798286437988,5,1.0
v25/15,25,164,0.5466666666666666,6.065600000000002,0.16130434782608696,7,0.0009996891021728516,7,1.0,0.0009996891021728516,7,1.0,0.24866411685943604,7,1.0,0.07026350498199463,7,1.0
v25/16,25,26,0.08666666666666667,2.4336,0.0,2,0.0,2,1.0,0.0,2,1.0,0.030909514427185057,2,1.0,0.0,2,1.0
v25/17,25,55,0.18333333333333332,3.8,0.004347826086956522,3,0.0,3,1.0,0.0,3,1.0,0.11303954124450684,3,1.0,0.00029981136322021484,3,1.0
v25/18,25,10,0.03333333333333333,1.48,0.0,2,0.0,2,1.0,0.0,2,1.0,0.07730290889739991,2,1.0,9.999275207519531e-05,2,1.0
v25/19,25,200,0.6666666666666666,8.92,0.30869565217391304,9,0.0010008811950683594,9,1.0,0.0010001659393310547,9,1.0,0.25974762439727783,9,1.0,0.0877000093460083,9,1.0
v25/20,25,230,0.7666666666666667,4.040000000000003,0.44521739130434784,9,0.0020003318786621094,8,0.0,0.003000974655151367,8,0.0,0.27250373363494873,9,1.0,0.08118588924407959,9,1.0
v25/21,25,14,0.04666666666666667,2.4655999999999993,0.0,2,0.0,2,1.0,0.0,2,1.0,0.07370202541351319,2,1.0,0.0,2,1.0
v25/22,25,167,0.5566666666666666,7.310400000000003,0.17304347826086958,7,0.0,7,1.0,0.0,7,1.0,0.21902716159820557,7,1.0,0.06489992141723633,7,1.0
v25/23,25,3,0.01,1.1824000000000001,0.0,2,0.0009984970092773438,2,1.0,0.0,2,1.0,0.143921422958374,2,1.0,0.0002000570297241211,2,1.0
v25/24,25,172,0.5733333333333334,4.7824,0.18347826086956523,7,0.0,7,1.0,0.0009996891021728516,7,1.0,0.2583425760269165,7,1.0,0.07080447673797607,7,1.0
v50/0,50,154,0.12571428571428572,6.4544,0.0020918367346938775,4,0.0,4,1.0,0.0009999275207519531,4,1.0,0.23869962692260743,4,1.0,0.05280182361602783,4,1.0
v50/1,50,1002,0.8179591836734694,5.673600000000007,0.5451020408163265,15,0.0930013656616211,15,1.0,0.08199954032897949,15,1.0,0.38045926094055177,15,1.0,0.1290978193283081,15,1.0
v50/2,50,83,0.06775510204081632,3.8575999999999984,0.0001530612244897959,3,0.0,3,1.0,0.0,3,1.0,0.234458589553833,3,1.0,0.01549980640411377,3,1.0
v50/3,50,713,0.5820408163265306,9.609600000000002,0.19403061224489795,9,0.006999969482421875,9,1.0,0.010001182556152344,9,1.0,0.3625100374221802,9,1.0,0.09372098445892334,9,1.0
v50/4,50,186,0.15183673469387754,7.286400000000002,0.0033163265306122448,4,0.0,4,1.0,0.0,4,1.0,0.3150595188140869,4,1.0,0.06582322120666503,4,1.0
v50/5,50,506,0.41306122448979593,13.102400000000005,0.07081632653061225,7,0.002000093460083008,7,1.0,0.0030002593994140625,7,1.0,0.33058319091796873,7,1.0,0.0,7,1.0
v50/6,50,1163,0.9493877551020408,2.7695999999999956,0.8550510204081633,28,0.34999966621398926,28,1.0,0.037998199462890625,28,1.0,0.45499415397644044,28,1.0,0.23162558078765869,28,1.0
v50/7,50,999,0.8155102040816327,10.798399999999999,0.5443367346938776,16,0.06300091743469238,16,1.0,0.11700057983398438,16,1.0,0.35233316421508787,16,1.0,0.1306394100189209,16,1.0
v50/8,50,524,0.42775510204081635,11.0384,0.07714285714285714,6,0.0019996166229248047,6,1.0,0.004999876022338867,6,1.0,0.27216029167175293,6,1.0,0.06368377208709716,6,1.0
v50/9,50,575,0.46938775510204084,10.12,0.10035714285714285,7,0.003000974655151367,7,1.0,0.006000041961669922,7,1.0,0.40805931091308595,7,1.0,0.12162585258483886,7,0.6
v50/10,50,221,0.18040816326530612,10.134400000000001,0.00596938775510204,4,0.0,4,1.0,0.0010004043579101562,4,1.0,0.22851622104644775,4,1.0,0.05258932113647461,4,1.0
v50/11,50,565,0.46122448979591835,8.88,0.09683673469387755,7,0.003000020980834961,7,1.0,0.004997730255126953,7,1.0,0.2680440187454224,7,1.0,0.07847998142242432,7,1.0
v50/12,50,121,0.09877551020408164,5.9344,0.0011224489795918367,3,0.0010004043579101562,3,1.0,0.0,3,1.0,0.14372806549072265,3,1.0,0.0027024030685424806,3,1.0
v50/13,50,880,0.7183673469387755,9.639999999999995,0.3689795918367347,12,0.030999183654785156,11,0.0,0.032000064849853516,12,1.0,0.4547327756881714,12,1.0,0.18749849796295165,12,0.4
v50/14,50,784,0.64,9.590400000000002,0.26035714285714284,10,0.013000249862670898,10,1.0,0.012998104095458984,10,1.0,0.48283202648162843,10,1.0,0.17200181484222413,10,0.3
v50/15,50,1033,0.843265306122449,6.617599999999997,0.5985714285714285,16,0.18399763107299805,16,1.0,0.09499764442443848,16,1.0,0.33363287448883056,16,1.0,0.13187620639801026,16,1.0
v50/16,50,1219,0.9951020408163266,1.222400000000004,0.9853571428571428,45,0.0009999275207519531,45,1.0,0.033997297286987305,45,1.0,0.08666014671325684,45,1.0,0.20404934883117676,45,1.0
v50/17,50,119,0.09714285714285714,4.3824000000000005,0.0010204081632653062,3,0.0,3,1.0,0.0010008811950683594,3,1.0,0.13271036148071289,3,1.0,0.0017001628875732422,3,1.0
v50/18,50,426,0.34775510204081633,11.998400000000004,0.04224489795918367,6,0.0009996891021728516,6,1.0,0.001999378204345703,6,1.0,0.3300675868988037,6,1.0,0.13218913078308106,6,0.4
v50/19,50,893,0.7289795918367347,8.921599999999993,0.38581632653061226,12,0.030997037887573242,12,1.0,0.03799939155578613,12,1.0,0.30620546340942384,12,1.0,0.12369346618652344,12,1.0
v50/20,50,778,0.6351020408163265,8.9056,0.2551530612244898,9,0.012998104095458984,9,1.0,0.023997783660888672,9,1.0,0.29128313064575195,9,1.0,0.09345705509185791,9,1.0
v50/21,50,1001,0.8171428571428572,6.438400000000005,0.5434183673469388,15,0.09600019454956055,15,1.0,0.06999850273132324,15,1.0,0.42865135669708254,15,1.0,0.12546975612640382,15,1.0
v50/22,50,276,0.2253061224489796,10.958400000000006,0.01163265306122449,5,0.0009999275207519531,5,1.0,0.0010030269622802734,5,1.0,0.27900989055633546,5,1.0,0.06808755397796631,5,1.0
v50/23,50,340,0.27755102040816326,10.2,0.022346938775510205,5,0.0009980201721191406,5,1.0,0.0020003318786621094,5,1.0,0.2442479610443115,5,1.0,0.06700010299682617,5,1.0
v50/24,50,1086,0.8865306122448979,5.966400000000006,0.6967857142857142,21,0.19099950790405273,21,1.0,0.09799861907958984,21,1.0,0.31370251178741454,21,1.0,0.14465458393096925,21,1.0
v100/0,100,2386,0.482020202020202,21.961600000000008,0.1112430426716141,9,0.06353092193603516,9,1.0,0.11111640930175781,9,1.0,0.5492768049240112,9,1.0,0.1438009262084961,9,0.5
v100/1,100,4020,0.8121212121212121,14.899999999999979,0.5353061224489796,21,39.379294872283936,21,1.0,9.791361570358276,21,1.0,0.8530766248703003,21,0.4,0.310357928276062,0,0.0
v100/2,100,2442,0.49333333333333335,24.714400000000005,0.11959802102659245,9,0.07399964332580566,9,1.0,0.13399863243103027,9,1.0,0.5721720218658447,9,1.0,0.16160085201263427,9,0.3
v100/3,100,2818,0.5692929292929293,23.530400000000004,0.1842300556586271,10,0.20599913597106934,10,1.0,0.3829984664916992,10,1.0,0.4686820268630981,10,1.0,0.12162797451019287,10,0.9
v100/4,100,2687,0.5428282828282829,27.472399999999965,0.1606926406926407,10,0.1439990997314453,10,1.0,0.24401021003723145,10,1.0,0.5402493000030517,10,1.0,0.18375346660614014,10,0.5
v100/5,100,3044,0.6149494949494949,26.245600000000003,0.23291280148423005,12,0.46500062942504883,12,1.0,0.44299983978271484,12,1.0,0.6497040510177612,12,1.0,0.17162208557128905,12,0.7
v100/6,100,729,0.14727272727272728,13.66359999999999,0.0031106988249845393,4,0.0020046234130859375,4,1.0,0.009001016616821289,4,1.0,0.3027940273284912,4,1.0,0.06679995059967041,4,1.0
v100/7,100,3446,0.6961616161616162,26.293599999999984,0.33816326530612245,15,1.9854490756988525,15,1.0,1.2519986629486084,15,1.0,0.6969539403915406,15,1.0,0.176078724861145,15,0.6
v100/8,100,3324,0.6715151515151515,25.289599999999993,0.3029375386518244,14,1.1975109577178955,14,1.0,0.8790154457092285,14,1.0,0.8276100397109986,14,1.0,0.19005231857299804,14,0.6
v100/9,100,4209,0.8503030303030303,16.787599999999998,0.6153803339517625,24,177.59926056861877,24,1.0,36.7475848197937,24,1.0,0.8893584728240966,24,0.7,0.2901714324951172,24,0.3
v100/10,100,4319,0.8725252525252525,13.755600000000006,0.6647680890538034,28,376.60816287994385,28,1.0,20.86975932121277,28,1.0,0.7561410665512085,28,1.0,0.19360177516937255,28,1.0
v100/11,100,2528,0.5107070707070707,22.386399999999984,0.13268398268398268,9,0.08699917793273926,9,1.0,0.2090897560119629,9,1.0,0.4754999876022339,9,1.0,0.11180009841918945,9,0.9
v100/12,100,424,0.08565656565656565,10.029599999999999,0.0006864564007421151,4,0.0,4,1.0,0.0030007362365722656,4,1.0,0.3329188823699951,4,1.0,0.07119987010955811,4,0.9
v100/13,100,4537,0.9165656565656566,7.532400000000019,0.7697835497835498,32,600.0,0,0.0,227.8964524269104,32,1.0,0.7407410383224488,32,1.0,0.291452693939209,32,0.9
v100/14,100,3143,0.6349494949494949,25.70040000000001,0.25636982065553493,12,0.5790009498596191,12,1.0,0.7525460720062256,12,1.0,0.5150510787963867,12,1.0,0.132200026512146,12,0.9
v100/15,100,184,0.037171717171717175,4.8176,6.184291898577613e-05,3,0.0,3,1.0,0.0010006427764892578,3,1.0,0.257511568069458,3,1.0,0.017003464698791503,3,1.0
v100/16,100,1987,0.4014141414141414,25.5524,0.06499072356215213,8,0.024043560028076172,8,1.0,0.056000709533691406,8,1.0,0.5333266735076905,8,0.9,0.15629994869232178,8,0.4
